transaction_id,date,description,amount,type,category,merchant,transaction_tag
TXN0000001,1/1/2024,ACME Corp - Salary Deposit,4500.0,credit,Income,ACME Corp,normal
TXN0000002,1/1/2024,Rent Payment - Oak Street Apartments,-1650.0,debit,Housing,Oak Street Apartments,bill
TXN0000003,1/1/2024,Local Cafe - Coffee,-5.62,debit,Food & Drink,Local Cafe,normal
TXN0000004,1/3/2024,Planet Fitness Monthly,-24.99,debit,Fitness,Planet Fitness,subscription
TXN0000005,1/4/2024,Uber Ride,-23.93,debit,Transportation,Uber,normal
TXN0000006,1/5/2024,PG&E Electric,-92.0,debit,Utilities,PG&E Electric,bill
TXN0000007,1/5/2024,Walmart,-116.9,debit,Groceries,Walmart,normal
TXN0000008,1/5/2024,Target,-42.4,debit,Groceries,Target,normal
TXN0000009,1/5/2024,Starbucks - Coffee,-5.71,debit,Food & Drink,Starbucks,normal
TXN0000011,1/6/2024,Shake Shack,-52.12,debit,Dining Out,Shake Shack,normal
TXN0000012,1/6/2024,Five Guys,-24.9,debit,Dining Out,Five Guys,normal
TXN0000010,1/6/2024,Shake Shack,-42.5,debit,Dining Out,Shake Shack,normal
TXN0000013,1/7/2024,Comcast Internet,-79.99,debit,Utilities,Comcast Internet,bill
TXN0000014,1/7/2024,76 Gas,-78.13,debit,Transportation,76 Gas,normal
TXN0000015,1/7/2024,Pizza Hut,-34.5,debit,Dining Out,Pizza Hut,normal
TXN0000016,1/7/2024,H&M,-40.62,debit,Shopping,H&M,normal
TXN0000017,1/8/2024,Hulu + Live TV,-69.99,debit,Entertainment,Hulu,subscription
TXN0000018,1/9/2024,Chipotle,-10.37,debit,Dining Out,Chipotle,normal
TXN0000019,1/10/2024,AT&T Phone,-65.0,debit,Utilities,AT&T Phone,bill
TXN0000022,1/11/2024,Target,-60.69,debit,Groceries,Target,normal
TXN0000020,1/11/2024,Five Guys,-48.01,debit,Dining Out,Five Guys,normal
TXN0000021,1/11/2024,Five Guys,-45.99,debit,Dining Out,Five Guys,normal
TXN0000024,1/12/2024,76 Gas,-44.9,debit,Transportation,76 Gas,normal
TXN0000023,1/12/2024,Spotify Premium,-10.99,debit,Entertainment,Spotify,subscription
TXN0000025,1/13/2024,Target,-11.78,debit,Groceries,Target,normal
TXN0000026,1/13/2024,76 Gas,-72.92,debit,Transportation,76 Gas,normal
TXN0000027,1/13/2024,Shake Shack,-24.24,debit,Dining Out,Shake Shack,normal
TXN0000028,1/13/2024,Delta Airlines - Tickets,-1350.0,debit,Travel,Delta Airlines,normal
TXN0000029,1/14/2024,Geico Auto Insurance,-165.0,debit,Insurance,Geico,bill
TXN0000030,1/14/2024,Pizza Hut,-28.87,debit,Dining Out,Pizza Hut,normal
TXN0000031,1/14/2024,IKEA,-78.33,debit,Shopping,IKEA,normal
TXN0000036,1/15/2024,76 Gas,-55.36,debit,Transportation,76 Gas,normal
TXN0000034,1/15/2024,Shell,-77.14,debit,Transportation,Shell,normal
TXN0000035,1/15/2024,Safeway,-126.71,debit,Groceries,Safeway,normal
TXN0000032,1/15/2024,ACME Corp - Salary Deposit,4500.0,credit,Income,ACME Corp,normal
TXN0000033,1/15/2024,Netflix Subscription,-16.49,debit,Entertainment,Netflix,subscription
TXN0000037,1/16/2024,IKEA,-226.19,debit,Shopping,IKEA,normal
TXN0000038,1/16/2024,Walmart,-15.49,debit,Groceries,Walmart,normal
TXN0000039,1/16/2024,Safeway,-91.21,debit,Groceries,Safeway,normal
TXN0000040,1/18/2024,Headspace Premium,-12.99,debit,Health,Headspace,subscription
TXN0000041,1/18/2024,Taco Bell,-16.07,debit,Dining Out,Taco Bell,normal
TXN0000044,1/19/2024,Starbucks - Coffee,-6.1,debit,Food & Drink,Starbucks,normal
TXN0000042,1/19/2024,Uber Ride,-36.2,debit,Transportation,Uber,normal
TXN0000043,1/19/2024,76 Gas,-37.66,debit,Transportation,76 Gas,normal
TXN0000047,1/20/2024,Shell,-84.82,debit,Transportation,Shell,normal
TXN0000046,1/20/2024,Shake Shack,-52.64,debit,Dining Out,Shake Shack,normal
TXN0000045,1/20/2024,Amazon Prime Membership,-14.49,debit,Shopping,Amazon Prime Video,subscription
TXN0000048,1/21/2024,Uber Ride,-18.33,debit,Transportation,Uber,normal
TXN0000049,1/21/2024,Uber Ride,-13.06,debit,Transportation,Uber,normal
TXN0000050,1/22/2024,Uber Ride,-23.69,debit,Transportation,Uber,normal
TXN0000051,1/22/2024,Safeway,-109.52,debit,Groceries,Safeway,normal
TXN0000052,1/24/2024,Starbucks - Coffee,-8.94,debit,Food & Drink,Starbucks,normal
TXN0000053,1/24/2024,Five Guys,-17.21,debit,Dining Out,Five Guys,normal
TXN0000054,1/24/2024,Chipotle,-29.01,debit,Dining Out,Chipotle,normal
TXN0000056,1/26/2024,76 Gas,-42.88,debit,Transportation,76 Gas,normal
TXN0000057,1/26/2024,Safeway,-70.93,debit,Groceries,Safeway,normal
TXN0000055,1/26/2024,Blue Bottle Coffee - Coffee,-5.12,debit,Food & Drink,Blue Bottle Coffee,normal
TXN0000058,1/27/2024,Target,-90.3,debit,Groceries,Target,normal
TXN0000059,1/28/2024,76 Gas,-43.46,debit,Transportation,76 Gas,normal
TXN0000060,1/29/2024,Pizza Hut,-9.1,debit,Dining Out,Pizza Hut,normal
TXN0000061,1/29/2024,Five Guys,-36.16,debit,Dining Out,Five Guys,normal
TXN0000062,2/1/2024,ACME Corp - Salary Deposit,4500.0,credit,Income,ACME Corp,normal
TXN0000063,2/1/2024,Rent Payment - Oak Street Apartments,-1650.0,debit,Housing,Oak Street Apartments,bill
TXN0000064,2/1/2024,IKEA,-281.73,debit,Shopping,IKEA,normal
TXN0000067,2/3/2024,Chevron,-73.22,debit,Transportation,Chevron,normal
TXN0000065,2/3/2024,Planet Fitness Monthly,-24.99,debit,Fitness,Planet Fitness,subscription
TXN0000066,2/3/2024,Blue Bottle Coffee - Coffee,-9.29,debit,Food & Drink,Blue Bottle Coffee,normal
TXN0000070,2/4/2024,Taco Bell,-26.44,debit,Dining Out,Taco Bell,normal
TXN0000069,2/4/2024,Taco Bell,-27.55,debit,Dining Out,Taco Bell,normal
TXN0000068,2/4/2024,Walmart,-54.85,debit,Groceries,Walmart,normal
TXN0000071,2/5/2024,PG&E Electric,-92.0,debit,Utilities,PG&E Electric,bill
TXN0000072,2/7/2024,Comcast Internet,-79.99,debit,Utilities,Comcast Internet,bill
TXN0000073,2/7/2024,Local Cafe - Coffee,-7.76,debit,Food & Drink,Local Cafe,normal
TXN0000074,2/7/2024,Whole Foods,-96.88,debit,Groceries,Whole Foods,normal
TXN0000075,2/8/2024,Hulu + Live TV,-69.99,debit,Entertainment,Hulu,subscription
TXN0000076,2/8/2024,Shell,-71.26,debit,Transportation,Shell,normal
TXN0000077,2/8/2024,Blue Bottle Coffee - Coffee,-8.06,debit,Food & Drink,Blue Bottle Coffee,normal
TXN0000078,2/10/2024,AT&T Phone,-65.0,debit,Utilities,AT&T Phone,bill
TXN0000079,2/11/2024,Trader Joes,-91.23,debit,Groceries,Trader Joes,normal
TXN0000080,2/12/2024,Spotify Premium,-11.49,debit,Entertainment,Spotify,subscription
TXN0000083,2/14/2024,76 Gas,-48.6,debit,Transportation,76 Gas,normal
TXN0000081,2/14/2024,Geico Auto Insurance,-165.0,debit,Insurance,Geico,bill
TXN0000082,2/14/2024,Shell,-69.31,debit,Transportation,Shell,normal
TXN0000084,2/15/2024,ACME Corp - Salary Deposit,4500.0,credit,Income,ACME Corp,normal
TXN0000085,2/15/2024,Netflix Subscription,-15.99,debit,Entertainment,Netflix,subscription
TXN0000086,2/15/2024,Whole Foods,-29.85,debit,Groceries,Whole Foods,normal
TXN0000087,2/15/2024,IKEA,-121.92,debit,Shopping,IKEA,normal
TXN0000088,2/16/2024,Dunkin - Coffee,-8.75,debit,Food & Drink,Dunkin,normal
TXN0000089,2/16/2024,Chevron,-57.34,debit,Transportation,Chevron,normal
TXN0000090,2/17/2024,Dunkin - Coffee,-4.75,debit,Food & Drink,Dunkin,normal
TXN0000091,2/18/2024,Headspace Premium,-12.49,debit,Health,Headspace,subscription
TXN0000092,2/19/2024,Pizza Hut,-27.48,debit,Dining Out,Pizza Hut,normal
TXN0000093,2/20/2024,Amazon Prime Membership,-14.99,debit,Shopping,Amazon Prime Video,subscription
TXN0000094,2/21/2024,IKEA,-174.78,debit,Shopping,IKEA,normal
TXN0000095,2/21/2024,Shake Shack,-14.15,debit,Dining Out,Shake Shack,normal
TXN0000096,2/21/2024,Whole Foods,-76.19,debit,Groceries,Whole Foods,normal
TXN0000097,2/22/2024,Pizza Hut,-27.25,debit,Dining Out,Pizza Hut,normal
TXN0000098,2/22/2024,Chipotle,-23.57,debit,Dining Out,Chipotle,normal
TXN0000099,2/23/2024,Amazon Refund,120.55,credit,Shopping,Amazon,normal
TXN0000100,2/25/2024,Safeway,-34.01,debit,Groceries,Safeway,normal
TXN0000101,2/25/2024,Blue Bottle Coffee - Coffee,-7.07,debit,Food & Drink,Blue Bottle Coffee,normal
TXN0000102,2/26/2024,H&M,-22.91,debit,Shopping,H&M,normal
TXN0000103,2/26/2024,Uber Ride,-44.73,debit,Transportation,Uber,normal
TXN0000106,2/27/2024,Diamond District Purchase,-2200.0,debit,Shopping,Diamond District Jewelers,normal
TXN0000104,2/27/2024,Local Cafe - Coffee,-4.31,debit,Food & Drink,Local Cafe,normal
TXN0000105,2/27/2024,Safeway,-124.3,debit,Groceries,Safeway,normal
TXN0000107,2/28/2024,Target,-132.1,debit,Groceries,Target,normal
TXN0000108,2/29/2024,Whole Foods,-73.44,debit,Groceries,Whole Foods,normal
TXN0000109,2/29/2024,Target,-94.08,debit,Groceries,Target,normal
TXN0000110,3/1/2024,ACME Corp - Salary Deposit,4500.0,credit,Income,ACME Corp,normal
TXN0000111,3/1/2024,Rent Payment - Oak Street Apartments,-1650.0,debit,Housing,Oak Street Apartments,bill
TXN0000113,3/2/2024,Shake Shack,-26.49,debit,Dining Out,Shake Shack,normal
TXN0000112,3/2/2024,Target,-172.51,debit,Groceries,Target,normal
TXN0000114,3/2/2024,Target,-152.53,debit,Groceries,Target,normal
TXN0000115,3/3/2024,Planet Fitness Monthly,-25.49,debit,Fitness,Planet Fitness,subscription
TXN0000116,3/4/2024,76 Gas,-83.02,debit,Transportation,76 Gas,normal
TXN0000117,3/5/2024,PG&E Electric,-92.0,debit,Utilities,PG&E Electric,bill
TXN0000118,3/5/2024,Taco Bell,-25.45,debit,Dining Out,Taco Bell,normal
TXN0000119,3/7/2024,Comcast Internet,-79.99,debit,Utilities,Comcast Internet,bill
TXN0000120,3/7/2024,Walmart,-76.62,debit,Groceries,Walmart,normal
TXN0000121,3/8/2024,Hulu + Live TV,-69.49,debit,Entertainment,Hulu,subscription
TXN0000122,3/8/2024,H&M,-65.09,debit,Shopping,H&M,normal
TXN0000123,3/8/2024,Walmart,-40.05,debit,Groceries,Walmart,normal
TXN0000124,3/8/2024,Trader Joes,-34.23,debit,Groceries,Trader Joes,normal
TXN0000126,3/9/2024,Walmart,-150.64,debit,Groceries,Walmart,normal
